iter	Logloss
0	0.6771221606
1	0.66196172
2	0.6468653465
3	0.6324489832
4	0.6197561274
5	0.6087151354
6	0.5942391933
7	0.5821223729
8	0.5723679818
9	0.5644106278
10	0.5548738047
11	0.5441466411
12	0.5354215855
13	0.5273492719
14	0.5222416049
15	0.5163256389
16	0.510894453
17	0.5051730491
18	0.5001914714
19	0.4941017109
20	0.4885265602
21	0.4831730919
22	0.4786888362
23	0.4754840443
24	0.4714759258
25	0.4670120044
26	0.4625957471
27	0.4600963355
28	0.456120071
29	0.4526241942
30	0.4507987977
31	0.4475416706
32	0.4445587578
33	0.4415864394
34	0.4378113498
35	0.4352745318
36	0.4303429421
37	0.4285808039
38	0.4251209268
39	0.4229344916
40	0.4201243822
41	0.4157221999
42	0.4130891026
43	0.4114349516
44	0.4092166781
45	0.4073645343
46	0.4054473406
47	0.4037691196
48	0.4019960962
49	0.400370607
50	0.3982294737
51	0.3969772427
52	0.3953161827
53	0.3935994858
54	0.392298847
55	0.3908048829
56	0.3889436869
57	0.3879343412
58	0.3863853154
59	0.3852443853
60	0.383668127
61	0.3823458614
62	0.377402482
63	0.3763668546
64	0.374703669
65	0.3738907329
66	0.3727133453
67	0.3717949136
68	0.3697196931
69	0.3686214004
70	0.3671939375
71	0.3662295092
72	0.3646302432
73	0.3635997537
74	0.3627175826
75	0.3616842542
76	0.3604440748
77	0.3596634734
78	0.3588792154
79	0.3573470493
80	0.3545440957
81	0.3506118727
82	0.3470391444
83	0.3461891746
84	0.3428394826
85	0.3418232836
86	0.3389407655
87	0.3382995543
88	0.337839892
89	0.3368932138
90	0.3355697759
91	0.3349968205
92	0.3342315187
93	0.3334837893
94	0.3307343836
95	0.3297618793
96	0.3277575447
97	0.3271955628
98	0.3261081749
99	0.3254252183
100	0.3247508068
101	0.3238301023
102	0.3229908603
103	0.3221477213
104	0.3215855505
105	0.3207076834
106	0.3199853801
107	0.319047102
108	0.3182703908
109	0.3177058076
110	0.3170529412
111	0.3162805257
112	0.3157396969
113	0.3152030569
114	0.3147013132
115	0.314289143
116	0.3138615179
117	0.3133099488
118	0.312735323
119	0.3117141033
120	0.3113132207
121	0.3109159919
122	0.3104783127
123	0.309429906
124	0.3087203402
125	0.3080512097
126	0.3070705762
127	0.3063694449
128	0.3059573176
129	0.3052865484
130	0.3046445677
131	0.3038362815
132	0.3033857736
133	0.3027720981
134	0.3021568631
135	0.3012854311
136	0.2997817952
137	0.2980549821
138	0.2976334387
139	0.2973528033
140	0.2968883225
141	0.2963656961
142	0.2955662238
143	0.2943278003
144	0.2935000679
145	0.2925257063
146	0.2921183086
147	0.2912358936
148	0.2906119494
149	0.2897750012
150	0.28920141
151	0.2883812308
152	0.2880716204
153	0.287592934
154	0.2871870929
155	0.2866323251
156	0.2863214292
157	0.2859766138
158	0.2854314238
159	0.2848204849
160	0.2842895781
161	0.2837934749
162	0.2833960254
163	0.2830050544
164	0.2821461976
165	0.2818183401
166	0.2813725924
167	0.2807196058
168	0.280163327
169	0.2795654482
170	0.2791469815
171	0.2785871983
172	0.2782680524
173	0.2775308886
174	0.2771959182
175	0.276667139
176	0.2761763841
177	0.2758507412
178	0.2755811833
179	0.2751552693
180	0.2747011633
181	0.2744898039
182	0.2739589913
183	0.273582731
184	0.2731840871
185	0.2728047551
186	0.272085337
187	0.2715093749
188	0.2712311261
189	0.2708181331
190	0.2704311912
191	0.2695024811
192	0.268728169
193	0.2682689597
194	0.2678751904
195	0.2674326214
196	0.2671177901
197	0.2665015123
198	0.2661025553
199	0.2658959621
200	0.2653498157
201	0.264937449
202	0.2646022143
203	0.2640629106
204	0.2634541387
205	0.2614687828
206	0.2608981041
207	0.2606055512
208	0.2603159599
209	0.2599692516
210	0.2596564035
211	0.2593207577
212	0.2588007153
213	0.2580767897
214	0.2575467823
215	0.2572630892
216	0.2566636036
217	0.2563150961
218	0.2557151016
219	0.2550591426
220	0.2534123075
221	0.2528034099
222	0.2523999335
223	0.2519368112
224	0.2505346002
225	0.2500970212
226	0.2496993353
227	0.2493154603
228	0.2488918535
229	0.2484961835
230	0.2480357511
231	0.2476509399
232	0.2474612464
233	0.2470741313
234	0.2464018294
235	0.2460519902
236	0.2455194276
237	0.2452204621
238	0.2447548452
239	0.2442101842
240	0.2439605204
241	0.2436633519
242	0.2433885298
243	0.243040614
244	0.2427684758
245	0.2423760033
246	0.2418817684
247	0.24161209
248	0.241331767
249	0.2410730185
250	0.2408661172
251	0.2406011588
252	0.2403001025
253	0.2401403022
254	0.2399328014
255	0.2397513298
256	0.2385422667
257	0.2382571061
258	0.2379665783
259	0.2376030828
260	0.2373118557
261	0.2366847748
262	0.2364199354
263	0.2360968578
264	0.2359751666
265	0.2356029616
266	0.2353801782
267	0.2349114258
268	0.234672351
269	0.2342649674
270	0.2335777614
271	0.2333405016
272	0.2329667056
273	0.232718112
274	0.2325023206
275	0.2321858216
276	0.2319637264
277	0.2317350203
278	0.2313623221
279	0.231087855
280	0.2307508954
281	0.2304359549
282	0.2302359813
283	0.229967353
284	0.2295636476
285	0.2291332304
286	0.2288833162
287	0.2284026581
288	0.2281729436
289	0.227962852
290	0.2277367142
291	0.2273980505
292	0.2270078711
293	0.2266305763
294	0.2262605295
295	0.2257852281
296	0.2255346211
297	0.2252828544
298	0.2251124883
299	0.2247604421
300	0.2246036128
301	0.2243190785
302	0.224105778
303	0.2238454253
304	0.2236120338
305	0.2233129623
306	0.2230065787
307	0.2228391243
308	0.2226461682
309	0.2221708771
310	0.2219968036
311	0.2216989452
312	0.2214457728
313	0.2211709726
314	0.2209810369
315	0.2206929272
316	0.2196240429
317	0.2189893193
318	0.2188187135
319	0.2183920037
320	0.2179883658
321	0.2175432124
322	0.2172931254
323	0.2170407742
324	0.2167586897
325	0.2164301114
326	0.2161762484
327	0.2159097601
328	0.2155710708
329	0.215366814
330	0.2150871694
331	0.2147176334
332	0.2145070982
333	0.2141929283
334	0.2139729273
335	0.2137323763
336	0.2134974226
337	0.2132329674
338	0.2127993246
339	0.2125019369
340	0.2122722813
341	0.2120553735
342	0.2115105005
343	0.2113693793
344	0.211067563
345	0.2106536981
346	0.2102867181
347	0.2099550984
348	0.2097507105
349	0.2095262158
350	0.2091052315
351	0.2088129606
352	0.2086717897
353	0.2084312622
354	0.2080763293
355	0.2078975697
356	0.207542561
357	0.2073986772
358	0.2069635277
359	0.2066923159
360	0.2064979971
361	0.2062402691
362	0.2059263925
363	0.2053757799
364	0.205082582
365	0.2048730131
366	0.2045060426
367	0.2043087119
368	0.2040890381
369	0.2037585835
370	0.2034431737
371	0.2031358211
372	0.202649964
373	0.2023979356
374	0.2020564203
375	0.2019131256
376	0.2016936887
377	0.2012128476
378	0.2010163328
379	0.2007513304
380	0.200551537
381	0.200315095
382	0.1998794075
383	0.1995458002
384	0.1992108949
385	0.1989536209
386	0.1986189648
387	0.1983749103
388	0.1979848293
389	0.1976609433
390	0.19689531
391	0.196573798
392	0.196038265
393	0.1957513441
394	0.1955731205
395	0.1953542032
396	0.1952347418
397	0.1948595706
398	0.1947112614
399	0.1941862135
400	0.1939268474
401	0.1931520943
402	0.1927999707
403	0.1924653433
404	0.1922455979
405	0.1919193739
406	0.1915440911
407	0.1911091765
408	0.1908470889
409	0.1906614406
410	0.1903012677
411	0.1899822387
412	0.1897653327
413	0.1894354771
414	0.1891997154
415	0.1890387884
416	0.188618084
417	0.1884155199
418	0.1882353778
419	0.1879541953
420	0.1877114248
421	0.1873548925
422	0.1871484716
423	0.187019686
424	0.186809372
425	0.1865905994
426	0.1863111802
427	0.1859801202
428	0.1857370302
429	0.1854557933
430	0.1851469037
431	0.1849489606
432	0.1847202406
433	0.1845956234
434	0.1843190921
435	0.1840230868
436	0.1837024063
437	0.1834255755
438	0.1831036483
439	0.1826852999
440	0.1824097385
441	0.1822332119
442	0.1820241944
443	0.1816469221
444	0.1813122007
445	0.1811368462
446	0.1809747107
447	0.1807081674
448	0.1805679977
449	0.1802163956
450	0.179929973
451	0.179709125
452	0.1793299722
453	0.1789961268
454	0.1787449693
455	0.1785050262
456	0.1783047803
457	0.1780392689
458	0.1779280835
459	0.1777188909
460	0.1774736285
461	0.177152305
462	0.1768232936
463	0.1766027155
464	0.1763712901
465	0.1762319148
466	0.1759939469
467	0.1757691783
468	0.1755638527
469	0.175432179
470	0.1753140569
471	0.175017836
472	0.1748388036
473	0.1745685887
474	0.1742555966
475	0.1741403016
476	0.1738427476
477	0.1736994119
478	0.1735650651
479	0.1732956484
480	0.1730998807
481	0.1729854624
482	0.1727055602
483	0.172309926
484	0.1719882599
485	0.1718359426
486	0.1715221833
487	0.171310152
488	0.1710214857
489	0.1706866886
490	0.1704360389
491	0.1702839911
492	0.1700753933
493	0.1698868507
494	0.1697356509
495	0.1693738344
496	0.1690835495
497	0.1687925585
498	0.1686287983
499	0.1683240477
500	0.168118097
501	0.1679097322
502	0.1675750616
503	0.1672986268
504	0.1672014899
505	0.1669089288
506	0.1667332998
507	0.1664850602
508	0.1663939279
509	0.1661964241
510	0.1660075625
511	0.1657822633
512	0.1655601349
513	0.165356047
514	0.1652304478
515	0.1649899429
516	0.1648217962
517	0.1646983589
518	0.1645158673
519	0.1643104446
520	0.1639850591
521	0.1638503638
522	0.1636137791
523	0.1634135663
524	0.1631366008
525	0.1630180745
526	0.162760237
527	0.1625987637
528	0.16238614
529	0.1621296167
530	0.1619973402
531	0.1618324245
532	0.161571488
533	0.1613816663
534	0.1612719894
535	0.160923555
536	0.1607680093
537	0.1605580741
538	0.1603313178
539	0.1600362241
540	0.1597311369
541	0.1591657526
542	0.1589635234
543	0.1588492272
544	0.1586594688
545	0.1584063803
546	0.1581757766
547	0.1580799993
548	0.1577630521
549	0.1575761011
550	0.1571240739
551	0.1569363692
552	0.1567834661
553	0.1565525541
554	0.1559576397
555	0.1558700142
556	0.1556910932
557	0.1555690591
558	0.1551505031
559	0.1549800307
560	0.154735076
561	0.1545070124
562	0.1544289036
563	0.1541866506
564	0.1540916523
565	0.1538917289
566	0.1533474377
567	0.1528581044
568	0.1526995192
569	0.1524870181
570	0.1521951053
571	0.1520418895
572	0.1518031348
573	0.151404406
574	0.1512495567
575	0.1511423009
576	0.1509579391
577	0.1507155329
578	0.1505205144
579	0.1502712008
580	0.1501745228
581	0.1500951718
582	0.1498609256
583	0.1497827298
584	0.1496735515
585	0.1494946038
586	0.1492928816
587	0.14916063
588	0.1489831753
589	0.14881902
590	0.1485383588
591	0.1484391996
592	0.1482452132
593	0.1481782781
594	0.1479943573
595	0.1477758959
596	0.1473092846
597	0.1470700205
598	0.1469204016
599	0.1467314419
600	0.1466322343
601	0.1463746293
602	0.1461842621
603	0.1460367452
604	0.1458294113
605	0.1456572396
606	0.1454653808
607	0.145403672
608	0.1452405036
609	0.1450935846
610	0.1449532071
611	0.1447629759
612	0.1445199446
613	0.1443285299
614	0.1441940476
615	0.1440832001
616	0.1438886684
617	0.1437126003
618	0.1436022588
619	0.1434358737
620	0.1431517374
621	0.1429125327
622	0.1427973455
623	0.142575435
624	0.1424954671
625	0.1423653886
626	0.1422064469
627	0.1420738166
628	0.1419674012
629	0.1418679331
630	0.1416161726
631	0.1414775974
632	0.1412894318
633	0.1407644304
634	0.1406132135
635	0.1404444816
636	0.1403084183
637	0.1402106503
638	0.1401411805
639	0.1399790943
640	0.1398160776
641	0.1396987909
642	0.1395936847
643	0.1395158889
644	0.1393800479
645	0.1393109995
646	0.1391178994
647	0.1389955582
648	0.1388777282
649	0.1387649899
650	0.1385792007
651	0.138389209
652	0.1382527828
653	0.1380812435
654	0.1378801561
655	0.1377233832
656	0.1375352119
657	0.1373732376
