iter	Passed	Remaining
0	4	4816
1	9	4771
2	14	4788
3	20	5152
4	25	5052
5	32	5307
6	36	5106
7	40	5046
8	48	5347
9	55	5452
10	59	5353
11	65	5414
12	71	5450
13	77	5473
14	84	5525
15	95	5856
16	103	5976
17	108	5902
18	112	5808
19	116	5704
20	120	5633
21	124	5553
22	129	5505
23	136	5534
24	140	5492
25	144	5417
26	148	5339
27	151	5259
28	154	5189
29	158	5127
30	161	5055
31	165	4995
32	168	4938
33	172	4900
34	175	4847
35	179	4809
36	182	4762
37	186	4713
38	189	4669
39	193	4648
40	198	4631
41	202	4613
42	208	4629
43	212	4611
44	218	4634
45	222	4622
46	227	4612
47	232	4614
48	237	4610
49	242	4599
50	246	4584
51	251	4579
52	257	4602
53	262	4595
54	268	4619
55	273	4616
56	277	4597
57	282	4584
58	286	4565
59	289	4539
60	293	4514
61	296	4489
62	301	4483
63	304	4460
64	308	4437
65	312	4416
66	315	4394
67	319	4372
68	322	4349
69	325	4328
70	329	4305
71	332	4284
72	335	4263
73	339	4243
74	342	4227
75	346	4208
76	349	4188
77	352	4167
78	355	4147
79	359	4129
80	362	4112
81	365	4096
82	369	4081
83	372	4066
84	376	4050
85	379	4037
86	383	4022
87	387	4010
88	394	4039
89	399	4038
90	404	4037
91	408	4034
92	413	4031
93	421	4058
94	426	4066
95	432	4069
96	438	4084
97	444	4087
98	449	4088
99	453	4082
100	457	4075
101	461	4064
102	465	4054
103	470	4050
104	473	4034
105	477	4023
106	480	4011
107	484	3997
108	487	3984
109	490	3970
110	494	3958
111	497	3945
112	501	3933
113	504	3922
114	508	3909
115	511	3896
116	514	3883
117	518	3871
118	521	3860
119	524	3847
120	528	3836
121	531	3824
122	534	3812
123	537	3800
124	541	3788
125	544	3777
126	548	3767
127	551	3757
128	554	3746
129	558	3736
130	561	3725
131	565	3715
132	568	3705
133	571	3695
134	575	3685
135	578	3675
136	582	3671
137	586	3663
138	590	3657
139	594	3650
140	598	3644
141	602	3639
142	606	3635
143	610	3631
144	616	3632
145	626	3666
146	636	3693
147	641	3693
148	645	3686
149	650	3684
150	655	3686
151	659	3681
152	663	3675
153	668	3669
154	672	3667
155	677	3666
156	682	3662
157	686	3660
158	692	3662
159	697	3663
160	702	3661
161	707	3662
162	712	3660
163	717	3657
164	722	3654
165	726	3651
166	731	3648
167	735	3643
168	740	3643
169	745	3637
170	748	3629
171	752	3621
172	755	3611
173	759	3603
174	762	3594
175	765	3586
176	769	3577
177	773	3569
178	776	3561
179	780	3557
180	785	3554
181	790	3552
182	794	3548
183	799	3546
184	804	3543
185	808	3536
186	812	3530
187	816	3525
188	820	3518
189	823	3511
190	827	3504
191	831	3499
192	836	3496
193	839	3488
194	843	3480
195	846	3473
196	850	3465
197	853	3457
198	857	3449
199	860	3441
200	863	3433
201	867	3425
202	870	3417
203	873	3409
204	877	3402
205	880	3394
206	884	3387
207	887	3380
208	891	3372
209	894	3365
210	897	3357
211	901	3350
212	904	3342
213	908	3335
214	911	3327
215	914	3320
216	918	3312
217	921	3305
218	924	3297
219	928	3290
220	931	3283
221	934	3275
222	938	3268
223	941	3261
224	944	3254
225	948	3246
226	951	3239
227	954	3232
228	958	3226
229	961	3219
230	964	3212
231	968	3205
232	971	3198
233	976	3195
234	980	3192
235	985	3189
236	989	3185
237	994	3183
238	998	3178
239	1002	3173
240	1006	3170
241	1010	3165
242	1014	3161
243	1018	3155
244	1022	3149
245	1025	3143
246	1028	3136
247	1032	3130
248	1036	3124
249	1039	3119
250	1042	3112
251	1046	3105
252	1049	3098
253	1052	3092
254	1056	3085
255	1059	3080
256	1063	3074
257	1066	3068
258	1070	3062
259	1073	3055
260	1077	3049
261	1080	3043
262	1083	3036
263	1087	3030
264	1090	3023
265	1093	3017
266	1096	3010
267	1100	3005
268	1103	2999
269	1107	2993
270	1110	2987
271	1114	2981
272	1117	2975
273	1120	2969
274	1124	2963
275	1127	2957
276	1131	2952
277	1134	2946
278	1137	2940
279	1141	2934
280	1144	2929
281	1148	2923
282	1151	2917
283	1154	2911
284	1158	2905
285	1161	2899
286	1165	2894
287	1168	2889
288	1172	2885
289	1176	2880
290	1180	2876
291	1184	2872
292	1189	2869
293	1194	2867
294	1199	2867
295	1203	2862
296	1207	2857
297	1221	2876
298	1233	2892
299	1244	2903
300	1254	2914
301	1262	2918
302	1268	2919
303	1274	2917
304	1278	2914
305	1283	2910
306	1287	2905
307	1290	2899
308	1294	2894
309	1298	2889
310	1301	2884
311	1305	2879
312	1309	2874
313	1313	2869
314	1317	2864
315	1320	2859
316	1324	2853
317	1328	2848
318	1331	2843
319	1335	2837
320	1339	2832
321	1342	2827
322	1347	2823
323	1350	2818
324	1354	2812
325	1357	2806
326	1360	2799
327	1364	2796
328	1368	2791
329	1372	2786
330	1376	2781
331	1381	2780
332	1388	2781
333	1393	2778
334	1397	2773
335	1400	2768
336	1407	2768
337	1410	2763
338	1414	2757
339	1417	2752
340	1421	2746
341	1424	2740
342	1427	2735
343	1431	2729
344	1434	2723
345	1437	2717
346	1441	2712
347	1444	2706
348	1447	2700
349	1451	2694
350	1454	2689
351	1457	2683
352	1460	2677
353	1464	2671
354	1467	2665
355	1470	2660
356	1473	2654
357	1477	2649
358	1480	2643
359	1483	2637
360	1486	2631
361	1491	2628
362	1495	2624
363	1499	2619
364	1502	2614
365	1506	2609
366	1509	2603
367	1513	2598
368	1516	2593
369	1519	2588
370	1523	2582
371	1526	2577
372	1530	2572
373	1533	2567
374	1537	2562
375	1540	2557
376	1544	2552
377	1547	2547
378	1551	2541
379	1554	2536
380	1558	2531
381	1562	2527
382	1566	2524
383	1570	2519
384	1575	2516
385	1580	2513
386	1584	2509
387	1588	2506
388	1592	2501
389	1598	2500
